cause,cas,VERB,causes,caused,causing
since,sne,SCONJ,,,
position,pst,NOUN,positions,,
return,rtn,VERB,returns,returned,returning
word,wr,NOUN,words,,
remain,rai,VERB,remains,remained,remaining
appear,ape,VERB,appears,appeared,appearing
close,cle,ADJ,,,
walk,wak,VERB,walks,walked,walking
easy,eay,ADJ,,,
cell,,NOUN,cells,,
candidate,cit,NOUN,candidates,,
paper,par,NOUN,papers,,
control,cnt,NOUN,controls,,
question,,NOUN,questions,,
report,,NOUN,reports,,
so,,SCONJ,,,
light,lh,NOUN,lights,,
boat,bt,NOUN,boats,,
himself,hie,PRON,,,
experience,ein,NOUN,experiences,,
language,lu,NOUN,languages,,
history,hy,NOUN,histories,,
ever,evr,ADV,,,
idea,ida,NOUN,ideas,,
support,srt,VERB,supports,supported,supporting
interest,int,NOUN,interests,,
together,toh,ADV,,,
law,law,NOUN,laws,,
describe,des,VERB,describes,described,describing
whether,wht,SCONJ,,,
material,mat,NOUN,materials,,
especially,eci,ADV,,,
term,tem,NOUN,terms,,
island,isn,NOUN,islands,,
happen,han,VERB,happens,happened,happening
plant,pan,NOUN,plants,,
apply,aly,VERB,applies,applied,applying
once,onc,ADV,,,
accord,aco,SCONJ,,,
less,,ADV,,,
locate,lca,VERB,locates,located,locating
role,roe,NOUN,roles,,
though,thu,SCONJ,,,
land,lad,NOUN,lands,,
first,,ADV,,,
meet,,VERB,meets,met,meeting
until,un,SCONJ,,,
send,snd,VERB,sends,sent,sending
today,toa,NOUN,todays,,
cut,cut,VERB,cuts,cut,cutting
body,bod,NOUN,bodies,,
animal,ail,NOUN,animals,,
therefore,thf,ADV,,,
reduce,reu,VERB,reduces,reduced,reducing
source,src,NOUN,sources,,
relate,rat,VERB,relates,related,relating
course,cos,NOUN,courses,,
reason,ras,NOUN,reasons,,
social,sci,ADJ,,,
century,cen,NOUN,centuries,,
project,pet,NOUN,projects,,
field,fie,NOUN,fields,,
hear,hear,VERB,hears,heard,hearing
cover,cv,VERB,covers,covered,covering
fact,fc,NOUN,facts,,
interview,iv,NOUN,interviews,,
improve,ime,VERB,improves,improved,improving
village,via,NOUN,villages,,
eat,,VERB,eats,ate,eating
air,,NOUN,airs,,
campaign,can,NOUN,campaigns,,
building,bin,NOUN,buildings,,
office,oic,NOUN,offices,,
action,atn,NOUN,actions,,
current,crt,ADJ,,,
open,oen,ADJ,,,
response,rsn,NOUN,responses,,
rather,rath,ADV,,,
human,hma,ADJ,,,
almost,aos,ADV,,,
goal,gal,NOUN,goals,,
represent,rest,VERB,represents,represented,representing
market,mk,NOUN,markets,,
carry,cay,VERB,carries,carried,carrying
away,awy,ADV,,,
thus,tus,ADV,,,
force,fce,NOUN,forces,,
late,,ADJ,,,
view,vie,NOUN,views,,
bear,bar,VERB,bears,beared,bearing
sit,,VERB,sits,sat,sitting
performance,pm,NOUN,performances,,
expect,ext,VERB,expects,expected,expecting
both,,CCONJ,,,
perform,pf,VERB,performs,performed,performing
various,vo,ADJ,,,
full,fu,ADJ,,,
factor,fat,NOUN,factors,,
publish,pih,VERB,publishes,published,publishing
bad,bad,ADJ,,,
cost,cst,NOUN,costs,,
network,nk,NOUN,networks,,
population,pai,NOUN,populations,,
yet,,ADV,,,
marry,mar,VERB,marries,married,marrying
usually,uy,ADV,,,
obtain,oai,VERB,obtains,obtained,obtaining
&,,CCONJ,,,
period,pri,NOUN,periods,,
kind,kd,NOUN,kinds,,
property,prt,NOUN,properties,,
rate,rate,NOUN,rates,,
already,aed,ADV,,,
strong,stn,ADJ,,,
analysis,ays,NOUN,analyses,,
face,fae,NOUN,faces,,
determine,dei,VERB,determines,determined,determining
product,pct,NOUN,products,,
leader,led,NOUN,leaders,,
art,,NOUN,arts,,
support,,NOUN,supports,,
quality,,NOUN,qualities,,
father,fh,NOUN,fathers,,
media,meia,NOUN,medias,,
visit,vt,VERB,visits,visited,visiting
center,cnr,NOUN,centers,,
at,,ADV,,,
anything,ahi,NOUN,anythings,,
music,msi,NOUN,musics,,
form,fm,NOUN,forms,,
probably,poa,ADV,,,
court,cot,NOUN,courts,,
set,,NOUN,sets,,
spend,send,VERB,spends,spent,spending
attack,ack,NOUN,attacks,,
enter,entr,VERB,enters,entered,entering
nothing,nhi,NOUN,nothings,,
job,jb,NOUN,jobs,,
only,,ADJ,,,
space,sace,NOUN,spaces,,
remove,rem,VERB,removes,removed,removing
war,war,NOUN,wars,,
suggest,sg,VERB,suggests,suggested,suggesting
similar,sir,ADJ,,,
Figure,fir,NOUN,Figures,,
age,,NOUN,ages,,
park,pk,NOUN,parks,,
sure,sue,ADJ,,,
risk,rk,NOUN,risks,,
addition,adn,NOUN,additions,,
website,ws,NOUN,websites,,
white,whi,ADJ,,,
produce,pce,VERB,produces,produced,producing
piece,pic,NOUN,pieces,,
name,,VERB,names,named,naming
yes,yes,INTJ,,,
international,itr,ADJ,,,
street,,NOUN,streets,,
account,aon,NOUN,accounts,,
military,mit,ADJ,,,
common,cmn,ADJ,,,
foot,fot,NOUN,feet,,
amount,au,NOUN,amounts,,
over,ove,ADV,,,
mother,mhr,NOUN,mothers,,
national,ntl,ADJ,,,
tip,tip,NOUN,tips,,
approach,aoh,NOUN,approaches,,
daughter,dahe,NOUN,daughters,,
plan,pl,NOUN,plans,,
present,pen,VERB,presents,presented,presenting
surface,sf,NOUN,surfaces,,
airport,airt,NOUN,airports,,
affect,aect,VERB,affects,affected,affecting
application,aict,NOUN,applications,,
enough,enh,ADV,,,
certain,cri,ADJ,,,
place,,VERB,places,placed,placing
patient,ptn,NOUN,patients,,
article,atie,NOUN,articles,,
stay,sty,VERB,stays,stayed,staying
well,,INTJ,,,
compare,cma,VERB,compares,compared,comparing
remember,rbe,VERB,remembers,remembered,remembering
option,oti,NOUN,options,,
decision,dis,NOUN,decisions,,
policy,poi,NOUN,policies,,
right,,ADJ,,,
identify,idn,VERB,identifies,identified,identifying
km,,NOUN,kms,,
former,fme,ADJ,,,
right,,ADV,,,
student,sun,NOUN,students,,
form,,VERB,forms,formed,forming
police,poc,NOUN,polices,,
girl,gi,NOUN,girls,,
video,vde,NOUN,videos,,
difference,dec,NOUN,differences,,
flight,fih,NOUN,flights,,
soon,,ADV,,,
fall,fl,VERB,falls,fell,falling
someone,smn,NOUN,someones,,
mind,min,NOUN,minds,,
quite,,ADV,,,
real,,ADJ,,,
top,top,NOUN,tops,,
connect,cnet,VERB,connects,connected,connecting
restaurant,ran,NOUN,restaurants,,
price,prc,NOUN,prices,,
little,,ADV,,,
focus,fcs,VERB,focuses,focussed,focussing
prepare,prea,VERB,prepares,prepared,preparing
door,dor,NOUN,doors,,
environment,evt,NOUN,environments,,
from,frm,SCONJ,,,
sometimes,soi,ADV,,,
break,brea,VERB,breaks,broke,breaking
popular,por,ADJ,,,
open,,VERB,opens,opened,opening
contain,cni,VERB,contains,contained,containing
care,care,NOUN,cares,,
operate,orat,VERB,operates,operated,operating
ride,rde,NOUN,rides,,
program,pg,NOUN,programs,,
route,rut,NOUN,routes,,
design,desi,NOUN,designs,,
relationship,rsh,NOUN,relationships,,
solution,sli,NOUN,solutions,,
claim,cli,VERB,claims,claimed,claiming
need,,NOUN,needs,,
table,tab,NOUN,tables,,
wait,wai,VERB,waits,waited,waiting
oil,oil,NOUN,oils,,
short,sor,ADJ,,,
study,,VERB,studies,studied,studying
no,,INTJ,,,
specie,seci,NOUN,species,,
propose,prs,VERB,proposes,proposed,proposing
raise,raie,VERB,raises,raised,raising
church,chr,NOUN,churches,,
feature,ftr,NOUN,features,,
watch,wc,VERB,watches,watched,watching
function,fn,NOUN,functions,,
these,,PRON,,,
bit,bit,NOUN,bits,,
distance,dsa,NOUN,distances,,
capital,ctl,NOUN,capitals,,
class,cls,NOUN,classes,,
state,,VERB,states,stated,stating
share,sha,VERB,shares,shared,sharing
temperature,teu,NOUN,temperatures,,
effort,eot,NOUN,efforts,,
whole,who,ADJ,,,
sell,,VERB,sells,sold,selling
security,sui,NOUN,securities,,
previous,pis,ADJ,,,
actually,aty,ADV,,,
wall,,NOUN,walls,,
pet,,NOUN,pets,,
lie,lie,VERB,lies,lied,lying
ground,gn,NOUN,grounds,,
production,pin,NOUN,productions,,
film,fim,NOUN,films,,
organization,ori,NOUN,organizations,,
decide,dci,VERB,decides,decided,deciding
plan,,VERB,plans,planned,planning
structure,stce,NOUN,structures,,
size,,NOUN,sizes,,
arrive,aive,VERB,arrives,arrived,arriving
technology,tch,NOUN,technologies,,
join,ji,VERB,joins,joined,joining
end,,VERB,ends,ended,ending
mile,ml,NOUN,miles,,
on,,SCONJ,,,
tree,,NOUN,trees,,
occur,ou,VERB,occurs,occurred,occurring
summer,sur,NOUN,summers,,
record,rco,NOUN,records,,
half,haf,NOUN,halves,,
drive,div,VERB,drives,drove,driving
travel,tav,VERB,travels,travelled,travelling
wife,wie,NOUN,wives,,
parent,paet,NOUN,parents,,
specific,sef,ADJ,,,
career,,NOUN,careers,,
hard,hrd,ADJ,,,
moment,men,NOUN,moments,,
black,bac,ADJ,,,
enjoy,ej,VERB,enjoys,enjoyed,enjoying
artist,aist,NOUN,artists,,
release,reas,VERB,releases,released,releasing
show,,NOUN,shows,,
president,psn,NOUN,presidents,,
location,lin,NOUN,locations,,
Many,,ADJ,,,
everything,evh,NOUN,everythings,,
brother,bth,NOUN,brethren,,
associate,asie,VERB,associates,associated,associating
difficult,dt,ADJ,,,
instead,inta,ADV,,,
prevent,prn,VERB,prevents,prevented,preventing
address,ades,VERB,addresses,addrest,addressing
range,rane,NOUN,ranges,,
situation,stan,NOUN,situations,,
significant,snc,ADJ,,,
industry,inr,NOUN,industries,,
morning,mri,NOUN,mornings,,
establish,esah,VERB,establishes,established,establishing
attention,aten,NOUN,attentions,,
rule,,NOUN,rules,,
beach,bah,NOUN,beaches,,
select,slet,VERB,selects,selected,selecting
exist,exi,VERB,exists,existed,existing
avoid,aod,VERB,avoids,avoided,avoiding
save,sv,VERB,saves,saved,saving
resource,ruc,NOUN,resources,,
either,eith,CCONJ,,,
disease,diea,NOUN,diseases,,
official,ofa,NOUN,officials,,
note,note,VERB,notes,noted,noting
store,stor,NOUN,stores,,
matter,mtr,NOUN,matters,,
such,,PRON,,,
face,,VERB,faces,faced,facing
training,tran,NOUN,trainings,,
centre,cetr,NOUN,centres,,
traditional,taio,ADJ,,,
close,,VERB,closes,closed,closing
particular,pac,ADJ,,,
love,lov,VERB,loves,loved,loving
miss,,VERB,misses,missed,missing
ship,shi,NOUN,ships,,
result,,VERB,results,resulted,resulting
likely,ly,ADJ,,,
trip,trip,NOUN,trips,,
color,col,NOUN,colors,,
natural,ntu,ADJ,,,
statement,sam,NOUN,statements,,
knowledge,kne,NOUN,knowledge,,
nation,nio,NOUN,nations,,
degree,deg,NOUN,degrees,,
shop,shp,NOUN,shops,,
border,bde,NOUN,borders,,
voice,vce,NOUN,voices,,
opportunity,oy,NOUN,opportunities,,
regard,rga,VERB,regards,regarded,regarding
culture,cue,NOUN,cultures,,
single,snl,ADJ,,,
simple,sile,ADJ,,,
early,,ADV,,,
letter,,NOUN,letters,,
whose,whs,PRON,,,
sea,,NOUN,seas,,
necessary,nesa,ADJ,,,
hotel,hoe,NOUN,hotels,,
explain,exa,VERB,explains,explained,explaining
sport,spo,NOUN,sports,,
depend,dp,VERB,depends,depended,depending
sign,sig,NOUN,signs,,
else,,ADV,,,
series,seri,NOUN,series,,
clear,clea,ADJ,,,
indicate,inae,VERB,indicates,indicated,indicating
boy,boy,NOUN,boys,,
treatment,tmn,NOUN,treatments,,
test,,NOUN,tests,,
author,atho,NOUN,authors,,
achieve,ahie,VERB,achieves,achieved,achieving
nature,nue,NOUN,natures,,
direction,dcn,NOUN,directions,,
observe,obs,VERB,observes,observed,observing
third,thir,ADJ,,,
impact,imc,NOUN,impacts,,
itself,itf,PRON,,,
announce,ance,VERB,announces,announced,announcing
all,,ADV,,,
both,,PRON,,,
growth,gth,NOUN,growths,,
computer,cmt,NOUN,computers,,
window,wid,NOUN,windows,,
without,wu,SCONJ,,,
rest,,NOUN,rests,,
match,mch,NOUN,matches,,
once,,SCONJ,,,
American,aeic,ADJ,,,
protect,prte,VERB,protects,protected,protecting
date,dat,NOUN,dates,,
stage,sag,NOUN,stages,,
tourist,tui,NOUN,tourists,,
recent,recn,ADJ,,,
wear,wea,VERB,wears,wore,wearing
safe,saf,ADJ,,,
style,stye,NOUN,styles,,
themselves,thes,PRON,,,
tool,,NOUN,tools,,
private,piat,ADJ,,,
present,,ADJ,,,
general,gna,ADJ,,,
education,eui,NOUN,educations,,
resident,reit,NOUN,residents,,
content,cont,NOUN,contents,,
list,list,NOUN,lists,,
plane,pane,NOUN,planes,,
story,sry,NOUN,stories,,
board,boa,NOUN,boards,,
message,mg,NOUN,messages,,
chance,chn,NOUN,chances,,
strategy,stra,NOUN,strategies,,
practice,paie,NOUN,practices,,
special,scia,ADJ,,,
around,aron,ADV,,,
province,pnc,NOUN,provinces,,
below,bw,ADV,,,
recently,rey,ADV,,,
currently,cey,ADV,,,
authority,athi,NOUN,authorities,,
season,saon,NOUN,seasons,,
whom,wm,PRON,,,
news,new,NOUN,news,,
economic,ecm,ADJ,,,
multiple,mut,ADJ,,,
active,acv,ADJ,,,
environmental,enl,ADJ,,,
page,pag,NOUN,pages,,
vehicle,vh,NOUN,vehicles,,
choice,chi,NOUN,choices,,
arm,,NOUN,arms,,
sense,,NOUN,senses,,
poor,,ADJ,,,
ticket,tke,NOUN,tickets,,
safety,sft,NOUN,safeties,,
access,,NOUN,accesses,,
generally,gen,ADV,,,
fill,fil,VERB,fills,filled,filling
conduct,cnu,VERB,conducts,conducted,conducting
directly,dy,ADV,,,
personal,pesa,ADJ,,,
loss,los,NOUN,losses,,
vote,vot,NOUN,votes,,
technique,tech,NOUN,techniques,,
draw,daw,VERB,draws,drew,drawing
mention,mto,VERB,mentions,mentioned,mentioning
river,rv,NOUN,rivers,,
mountain,moa,NOUN,mountains,,
beautiful,bet,ADJ,,,
challenge,chae,NOUN,challenges,,
ensure,ensr,VERB,ensures,ensured,ensuring
act,,VERB,acts,acted,acting
define,dein,VERB,defines,defined,defining
traffic,trac,NOUN,traffics,,
device,deic,NOUN,devices,,
operation,orn,NOUN,operations,,
heart,hert,NOUN,hearts,,
wide,wde,ADJ,,,
management,maet,NOUN,managements,,
character,chat,NOUN,characters,,
finally,fia,ADV,,,
purpose,pue,NOUN,purposes,,
section,setn,NOUN,sections,,
pressure,psu,NOUN,pressures,,
evidence,evn,NOUN,evidences,,
famous,fos,ADJ,,,
investigate,ivt,VERB,investigates,investigated,investigating
climate,cite,NOUN,climates,,
easily,easl,ADV,,,
promote,pmt,VERB,promotes,promoted,promoting
score,scre,VERB,scores,scored,scoring
get,,AUX,,,
speed,spd,NOUN,speeds,,
fire,fire,NOUN,fires,,
no,,ADV,,,
algorithm,arih,NOUN,algorithms,,
TRUE,true,ADJ,,,
front,fnt,NOUN,fronts,,
influence,iun,NOUN,influences,,
base,,NOUN,bases,,
connection,cein,NOUN,connections,,
introduction,iuc,NOUN,introductions,,
past,past,ADJ,,,
detail,dil,NOUN,details,,
particularly,ptu,ADV,,,
interview,,VERB,interviews,interviewed,interviewing
further,fhe,ADJ,,,
discuss,dsc,VERB,discusses,discussed,discussing
dead,,ADJ,,,
individual,inv,NOUN,individuals,,
movement,mon,NOUN,movements,,
fail,fal,VERB,fails,failed,failing
floor,flo,NOUN,floors,,
destination,dso,NOUN,destinations,,
warning,wag,NOUN,warnings,,
hope,hpe,VERB,hopes,hoped,hoping
limit,lmt,VERB,limits,limited,limiting
nuclear,nur,ADJ,,,
card,cad,NOUN,cards,,
introduce,inte,VERB,introduces,introduced,introducing
drug,dru,NOUN,drugs,,
opinion,opn,NOUN,opinions,,
winter,wit,NOUN,winters,,
answer,asw,VERB,answers,answered,answering
press,pres,NOUN,presses,,
behavior,beh,NOUN,behaviors,,
appoint,aont,VERB,appoints,appointed,appointing
perhaps,pha,ADV,,,
one,,NOUN,ones,,
sort,,NOUN,sorts,,
than,than,SCONJ,,,
seat,,NOUN,seats,,
simply,sly,ADV,,,
key,ky,ADJ,,,
machine,mhi,NOUN,machines,,
trade,tde,NOUN,trades,,
box,bx,NOUN,boxes,,
subject,sj,NOUN,subjects,,
original,onl,ADJ,,,
variety,vy,NOUN,varieties,,
soil,soil,NOUN,soils,,
much,,ADJ,,,
player,pye,NOUN,players,,
concern,coe,NOUN,concerns,,
star,,NOUN,stars,,
accord,,VERB,accords,accorded,according
agree,agre,VERB,agrees,agreed,agreeing
alone,alne,ADV,,,
charge,cg,NOUN,charges,,
complete,com,VERB,completes,completed,completing
citizen,citn,NOUN,citizens,,
investigation,insa,NOUN,investigations,,
online,oie,ADV,,,
accept,acep,VERB,accepts,accepted,accepting
king,kin,NOUN,kings,,
rise,,VERB,rises,rose,rising
bar,,NOUN,bars,,
check,ck,VERB,checks,checked,checking
positive,pste,ADJ,,,
seek,sek,VERB,seeks,sought,seeking
expression,exs,NOUN,expressions,,
flow,fow,NOUN,flows,,
attend,aend,VERB,attends,attended,attending
final,fna,ADJ,,,
driver,dive,NOUN,drivers,,
Go,,VERB,goes,went,going
sound,sou,NOUN,sounds,,
potential,ptei,ADJ,,,
communication,cnat,NOUN,communications,,
ago,ago,ADV,,,
element,elnt,NOUN,elements,,
oh,,INTJ,,,
band,ban,NOUN,bands,,
effective,etiv,ADJ,,,
attempt,amp,NOUN,attempts,,
gas,,NOUN,gas,,
mass,,NOUN,masses,,
maintain,mait,VERB,maintains,maintained,maintaining
design,,VERB,designs,designed,designing
express,exr,VERB,expresses,expressed,expressing
weapon,wan,NOUN,weapons,,
photo,pht,NOUN,photos,,
ability,abi,NOUN,abilities,,
measure,msr,VERB,measures,measured,measuring
district,disc,NOUN,districts,,
note,,NOUN,notes,,
surround,sud,VERB,surrounds,surrounded,surrounding
presence,psc,NOUN,presences,,
visitor,vio,NOUN,visitors,,
painting,pant,NOUN,paintings,,
myself,mye,PRON,,,
happy,hay,ADJ,,,
pattern,patr,NOUN,patterns,,
tour,tou,NOUN,tours,,
vote,,VERB,votes,voted,voting
discover,dio,VERB,discovers,discovered,discovering
physical,phc,ADJ,,,
elect,elct,VERB,elects,elected,electing
finish,fsh,VERB,finishes,finished,finishing
everyone,eyn,NOUN,everyones,,
corner,corn,NOUN,corners,,
manage,mane,VERB,manages,managed,managing
ball,,NOUN,balls,,
troop,trop,NOUN,troops,,
back,,NOUN,backs,,
confirm,cfi,VERB,confirms,confirmed,confirming
parameter,pme,NOUN,parameters,,
hot,,ADJ,,,
user,user,NOUN,users,,
